0:0:0:0:0:0:0:1 - - [07/Mar/2019:09:04:52 +0800] "GET / HTTP/1.1" 200 11458
127.0.0.1 - - [07/Mar/2019:09:11:17 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [07/Mar/2019:09:11:17 +0800] "GET /manager/text/ HTTP/1.1" 401 2536
127.0.0.1 - root [07/Mar/2019:09:11:18 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [07/Mar/2019:09:11:18 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:09:11:18 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [07/Mar/2019:09:11:18 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:09:11:18 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [07/Mar/2019:09:11:18 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:09:11:18 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - root [07/Mar/2019:09:11:19 +0800] "GET /manager/text/list HTTP/1.1" 200 280
127.0.0.1 - root [07/Mar/2019:09:11:19 +0800] "GET /manager/text/list HTTP/1.1" 200 280
127.0.0.1 - root [07/Mar/2019:09:11:19 +0800] "GET /manager/text/reload?path=/javaee HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [07/Mar/2019:09:11:20 +0800] "GET /javaee/student HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [07/Mar/2019:09:11:41 +0800] "GET /javaee/student?nama=juhaidah HTTP/1.1" 200 247
127.0.0.1 - - [07/Mar/2019:09:16:38 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:09:16:38 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [07/Mar/2019:09:16:38 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:09:16:38 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [07/Mar/2019:09:16:38 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:09:16:38 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - root [07/Mar/2019:09:16:39 +0800] "GET /manager/text/list HTTP/1.1" 200 280
127.0.0.1 - root [07/Mar/2019:09:16:39 +0800] "GET /manager/text/reload?path=/javaee HTTP/1.1" 200 64
127.0.0.1 - - [07/Mar/2019:09:16:39 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:09:16:39 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [07/Mar/2019:09:19:36 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:09:19:36 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [07/Mar/2019:09:19:36 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:09:19:36 +0800] "GET /manager/text/ HTTP/1.1" 200 39
